streetAddress,suburb,state,postcode,propertyType,bed,bath,car,landSizeM2,floorSizeM2,yearBuilt,salePrice,saleDate,saleType,agency,landUse,developmentZone,parcelDetails,ownerType,openInRpdata,sourceFile,agencyBrand,saleYear,saleMonth,saleYearMonth,street,month_id,saleMonth_sin,saleMonth_cos,suburb_price_median_current,count,std,suburb_price_median_3m,suburb_price_median_6m,suburb_price_median_12m,suburb_txn_count_3m,suburb_txn_count_6m,suburb_txn_count_12m,suburb_volatility_3m,suburb_volatility_6m,suburb_volatility_12m,suburb_delta_3m,suburb_delta_12m,suburb_house_price_median_current,suburb_house_txn_count_current,suburb_house_volatility_current,suburb_house_price_median_3m,suburb_house_price_median_6m,suburb_house_price_median_12m,suburb_house_txn_count_3m,suburb_house_txn_count_6m,suburb_house_txn_count_12m,suburb_house_volatility_3m,suburb_house_volatility_6m,suburb_house_volatility_12m,suburb_house_delta_3m,suburb_house_delta_12m,suburb_other_price_median_current,suburb_other_txn_count_current,suburb_other_volatility_current,suburb_other_price_median_3m,suburb_other_price_median_6m,suburb_other_price_median_12m,suburb_other_txn_count_3m,suburb_other_txn_count_6m,suburb_other_txn_count_12m,suburb_other_volatility_3m,suburb_other_volatility_6m,suburb_other_volatility_12m,suburb_other_delta_3m,suburb_other_delta_12m,rel_price_vs_suburb_median,rel_street_effect,propertyAge,propertyAgeBand
10 VICTORIA AVENUE,MITCHAM,VIC,3132,HOUSE,3.0,1.0,2.0,496.0,120.0,1980.0,0.0,2020-01-17,Nils And Wills,Other,Detached Dwelling (existing),GRZ1,1/TP681962,Owner Occupied,https://rpp.corelogic.com.au/property/10-victoria-avenue-mitcham-vic-3132/11859734,propertyExport_20250901115240.csv,Fletchers,2020,1,202001,Victoria Avenue,39,0.49999999999999994,0.8660254037844387,872000.0,28.0,1811605.292645044,872000.0,806500.0,775750.0,93.0,175.0,312.0,863245.6727765957,792745.1783190662,606349.3971342839,0.06341463414634152,0.15115511551155114,970000.0,11.0,501924.0208709609,1022500.0,962625.0,901000.0,34.0,65.0,113.0,451581.51061584125,457427.2531282198,358878.42163427314,0.015440984035592686,0.16867469879518082,845000.0,17.0,2257562.564497435,776000.0,734500.0,701250.0,59.0,110.0,199.0,954485.3501592596,895120.232026727,670971.1097076008,0.0988296488946685,0.3629032258064515,0.0,0.8755319611187271,40.0,21+
5/25 GLENBURNIE ROAD,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,181.0,99.0,1998.0,701000.0,2020-01-12,Unknown,Other,Single Strata Unit/Villa Unit/Townhouse,NRZ3,5/PS410133,Rented,https://rpp.corelogic.com.au/property/5-25-glenburnie-road-mitcham-vic-3132/11851311,propertyExport_20250901115240.csv,Other,2020,1,202001,Glenburnie Road,39,0.49999999999999994,0.8660254037844387,872000.0,28.0,1811605.292645044,872000.0,806500.0,775750.0,93.0,175.0,312.0,863245.6727765957,792745.1783190662,606349.3971342839,0.06341463414634152,0.15115511551155114,970000.0,11.0,501924.0208709609,1022500.0,962625.0,901000.0,34.0,65.0,113.0,451581.51061584125,457427.2531282198,358878.42163427314,0.015440984035592686,0.16867469879518082,845000.0,17.0,2257562.564497435,776000.0,734500.0,701250.0,59.0,110.0,199.0,954485.3501592596,895120.232026727,670971.1097076008,0.0988296488946685,0.3629032258064515,0.8038990825688074,1.4544501717945362,22.0,21+
2/87 ROOKS ROAD,MITCHAM,VIC,3132,HOUSE,3.0,2.0,2.0,592.0,90.0,1950.0,0.0,2020-01-11,Nils And Wills,Unknown,Unknown,NRZ3,2/SP34017,Rented,https://rpp.corelogic.com.au/property/2-87-rooks-road-mitcham-vic-3132/11857775,propertyExport_20250901115240.csv,Other,2020,1,202001,Rooks Road,39,0.49999999999999994,0.8660254037844387,872000.0,28.0,1811605.292645044,872000.0,806500.0,775750.0,93.0,175.0,312.0,863245.6727765957,792745.1783190662,606349.3971342839,0.06341463414634152,0.15115511551155114,970000.0,11.0,501924.0208709609,1022500.0,962625.0,901000.0,34.0,65.0,113.0,451581.51061584125,457427.2531282198,358878.42163427314,0.015440984035592686,0.16867469879518082,845000.0,17.0,2257562.564497435,776000.0,734500.0,701250.0,59.0,110.0,199.0,954485.3501592596,895120.232026727,670971.1097076008,0.0988296488946685,0.3629032258064515,0.0,0.9862314044785662,70.0,21+
2/71 CHURINGA AVENUE,MITCHAM,VIC,3132,UNIT,4.0,3.0,2.0,326.0,223.0,2019.0,0.0,2020-01-07,Nils And Wills,Unknown,Unknown,NRZ3,2/PS821220,Owner Occupied,https://rpp.corelogic.com.au/property/2-71-churinga-avenue-mitcham-vic-3132/46198121,propertyExport_20250901115240.csv,Other,2020,1,202001,Churinga Avenue,39,0.49999999999999994,0.8660254037844387,872000.0,28.0,1811605.292645044,872000.0,806500.0,775750.0,93.0,175.0,312.0,863245.6727765957,792745.1783190662,606349.3971342839,0.06341463414634152,0.15115511551155114,970000.0,11.0,501924.0208709609,1022500.0,962625.0,901000.0,34.0,65.0,113.0,451581.51061584125,457427.2531282198,358878.42163427314,0.015440984035592686,0.16867469879518082,845000.0,17.0,2257562.564497435,776000.0,734500.0,701250.0,59.0,110.0,199.0,954485.3501592596,895120.232026727,670971.1097076008,0.0988296488946685,0.3629032258064515,0.0,1.0770411111911746,1.0,0–5
51 WARNES ROAD,MITCHAM,VIC,3132,HOUSE,3.0,3.0,2.0,204.0,128.0,2000.0,0.0,2020-01-07,Nils And Wills,Other,Detached Dwelling,NRZ3,2/PS418287,Owner Occupied,https://rpp.corelogic.com.au/property/51-warnes-road-mitcham-vic-3132/11860255,propertyExport_20250901115240.csv,Other,2020,1,202001,Warnes Road,39,0.49999999999999994,0.8660254037844387,872000.0,28.0,1811605.292645044,872000.0,806500.0,775750.0,93.0,175.0,312.0,863245.6727765957,792745.1783190662,606349.3971342839,0.06341463414634152,0.15115511551155114,970000.0,11.0,501924.0208709609,1022500.0,962625.0,901000.0,34.0,65.0,113.0,451581.51061584125,457427.2531282198,358878.42163427314,0.015440984035592686,0.16867469879518082,845000.0,17.0,2257562.564497435,776000.0,734500.0,701250.0,59.0,110.0,199.0,954485.3501592596,895120.232026727,670971.1097076008,0.0988296488946685,0.3629032258064515,0.0,0.9806876046037671,20.0,6–20
37 CRESSWELL CRESCENT,MITCHAM,VIC,3132,HOUSE,4.0,2.0,3.0,669.0,154.0,1934.0,0.0,2019-12-28,Nils And Wills,Unknown,Detached Dwelling (existing),NRZ4,168/LP26190,Rented,https://rpp.corelogic.com.au/property/37-cresswell-crescent-mitcham-vic-3132/11849251,propertyExport_20250901115240.csv,Other,2019,12,201912,Cresswell Crescent,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.0,0.8769028520581679,85.0,21+
1 VICTORIA AVENUE,MITCHAM,VIC,3132,HOUSE,3.0,1.0,2.0,667.0,160.0,1980.0,0.0,2019-12-26,Nils And Wills,Other,Detached Dwelling (existing),NRZ4,1/TP531440,Owner Occupied,https://rpp.corelogic.com.au/property/1-victoria-avenue-mitcham-vic-3132/11859715,propertyExport_20250901115240.csv,Jellis Craig,2019,12,201912,Victoria Avenue,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.0,0.8755319611187271,39.0,21+
21 DEEP CREEK ROAD,MITCHAM,VIC,3132,HOUSE,4.0,3.0,2.0,435.0,242.0,2020.0,1140000.0,2019-12-23,Unknown,Other,Detached Dwelling,NRZ3,1/PS821952,Owner Occupied,https://rpp.corelogic.com.au/property/21-deep-creek-road-mitcham-vic-3132/47504315,propertyExport_20250901115240.csv,Ray White,2019,12,201912,Deep Creek Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.3065902578796562,0.9652794418620257,,
23 GILLIES STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,1.0,446.0,109.0,1980.0,855000.0,2019-12-22,Unknown,Biggin & Scott Mitcham,Detached Dwelling,NRZ4,31/LP3045,Owner Occupied,https://rpp.corelogic.com.au/property/23-gillies-street-mitcham-vic-3132/11851182,propertyExport_20250901115240.csv,Biggin & Scott,2019,12,201912,Gillies Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.9799426934097422,1.2127019803547157,39.0,21+
260 MITCHAM ROAD,MITCHAM,VIC,3132,HOUSE,3.0,2.0,1.0,622.0,95.0,1960.0,900000.0,2019-12-22,Unknown,Unknown,Detached Dwelling,NRZ4,144/LP26190,Rented,https://rpp.corelogic.com.au/property/260-mitcham-road-mitcham-vic-3132/11854387,propertyExport_20250901115240.csv,Other,2019,12,201912,Mitcham Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.0315186246418337,0.7912838178283123,59.0,21+
2/6 COPPIN CLOSE,MITCHAM,VIC,3132,OTHER,3.0,2.0,2.0,205.0,128.0,1980.0,1016000.0,2019-12-21,Unknown,Unknown,Strata Unit or Flat  (Unspecified),GRZ2,2/PS828906,Unknown,https://rpp.corelogic.com.au/property/2-6-coppin-close-mitcham-vic-3132/46083912,propertyExport_20250901115240.csv,Other,2019,12,201912,Coppin Close,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.1644699140401147,0.9101306624995171,39.0,21+
1/2 HOPETOUN STREET,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,225.0,100.0,2002.0,691000.0,2019-12-18,Unknown,Other,Strata Unit or Flat  (Unspecified),NRZ3,1/PS503659,Owner Occupied,https://rpp.corelogic.com.au/property/1-2-hopetoun-street-mitcham-vic-3132/11852602,propertyExport_20250901115240.csv,Other,2019,12,201912,Hopetoun Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.7919770773638969,0.9079879873998635,17.0,6–20
6/7 DONCASTER EAST ROAD,MITCHAM,VIC,3132,UNIT,3.0,1.0,2.0,378.0,115.55,1990.0,776888.0,2019-12-17,Unknown,Other,Strata Unit or Flat  (Unspecified),NRZ4,6/PS314293,Owner Occupied,https://rpp.corelogic.com.au/property/6-7-doncaster-east-road-mitcham-vic-3132/11849859,propertyExport_20250901115240.csv,Other,2019,12,201912,Doncaster East Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.8904160458452722,0.7506924984079061,29.0,21+
2/42 LINLITHGOW STREET,MITCHAM,VIC,3132,UNIT,4.0,3.0,2.0,344.0,128.0,2019.0,1200000.0,2019-12-16,Unknown,Jellis Craig Whitehorse,Strata Unit or Flat  (Unspecified),NRZ3,2/PS819834,Owner Occupied,https://rpp.corelogic.com.au/property/2-42-linlithgow-street-mitcham-vic-3132/45257112,propertyExport_20250901115240.csv,Jellis Craig,2019,12,201912,Linlithgow Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.3753581661891117,1.026117095790003,0.0,0–5
LOT 10 HARRISON STREET,MITCHAM,VIC,3132,OTHER,3.0,2.0,2.0,1162.0,128.0,1980.0,872000.0,2019-12-14,Unknown,Unknown,Strata Unit or Flat  (Unspecified),RGZ1,10/RP18703,Unknown,https://rpp.corelogic.com.au/property/lot-10-harrison-street-mitcham-vic-3132/36691469,propertyExport_20250901115240.csv,Other,2019,12,201912,Harrison Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.9994269340974212,1.3185128593680986,39.0,21+
5/16 HARRISON STREET,MITCHAM,VIC,3132,UNIT,3.0,1.0,2.0,300.0,105.0,1980.0,872000.0,2019-12-14,Unknown,Other,Strata Unit or Flat  (Unspecified),RGZ1,5/RP18703,Owner Occupied,https://rpp.corelogic.com.au/property/5-16-harrison-street-mitcham-vic-3132/11851955,propertyExport_20250901115240.csv,Other,2019,12,201912,Harrison Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.9994269340974212,1.3185128593680986,39.0,21+
621 WHITEHORSE ROAD,MITCHAM,VIC,3132,COMMERCIAL: INDUSTRIAL BUILDING,3.0,2.0,2.0,6681.0,98.0,2003.0,7535000.0,2019-12-14,Unknown,Unknown,Office Premises,IN3Z,"LOTS 10, CM1, & CM2 PS521884",Unknown,https://rpp.corelogic.com.au/property/621-whitehorse-road-mitcham-vic-3132/14909579,propertyExport_20250901115240.csv,Other,2019,12,201912,Whitehorse Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,8.636103151862464,1.6258390347881593,16.0,6–20
3/621 WHITEHORSE ROAD,MITCHAM,VIC,3132,COMMERCIAL: OFFICE BUILDING,3.0,2.0,2.0,7291.0,5212.0,1980.0,7535000.0,2019-12-14,Unknown,Other,Office Premises,IN3Z,3/PS521884,Unknown,https://rpp.corelogic.com.au/property/3-621-whitehorse-road-mitcham-vic-3132/14423740,propertyExport_20250901115240.csv,Other,2019,12,201912,Whitehorse Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,8.636103151862464,1.6258390347881593,39.0,21+
4 COMPTON STREET,MITCHAM,VIC,3132,HOUSE,4.0,1.0,2.0,608.0,116.0,1963.0,970000.0,2019-12-12,Unknown,Unknown,Detached Dwelling,NRZ4,236/LP26190,Rented,https://rpp.corelogic.com.au/property/4-compton-street-mitcham-vic-3132/11848709,propertyExport_20250901115240.csv,Other,2019,12,201912,Compton Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.1117478510028653,0.8530996120538946,56.0,21+
8/11 CHURCH STREET,MITCHAM,VIC,3132,UNIT,2.0,1.0,1.0,809.0,69.0,2012.0,478000.0,2019-12-11,Unknown,Other,Single Strata Unit/Villa Unit/Townhouse,GRZ2,8/PS638440,Rented,https://rpp.corelogic.com.au/property/8-11-church-street-mitcham-vic-3132/15984814,propertyExport_20250901115240.csv,Other,2019,12,201912,Church Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.5478510028653295,0.6005197294560456,7.0,6–20
1/6 HEATHERDALE ROAD,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,183.0,128.0,1980.0,845000.0,2019-12-11,Unknown,Unknown,Single Strata Unit/Villa Unit/Townhouse,Unknown,1/PS837026,Owner Occupied,https://rpp.corelogic.com.au/property/1-6-heatherdale-road-mitcham-vic-3132/50692892,propertyExport_20250901115240.csv,Other,2019,12,201912,Heatherdale Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.9684813753581661,0.7373014293905038,39.0,21+
47 CASELLA STREET,MITCHAM,VIC,3132,HOUSE,3.0,1.0,2.0,652.0,123.0,1970.0,1054000.0,2019-12-10,Unknown,Other,Detached Dwelling,NRZ1,12/LP11735,Owner Occupied,https://rpp.corelogic.com.au/property/47-casella-street-mitcham-vic-3132/11848022,propertyExport_20250901115240.csv,Jellis Craig,2019,12,201912,Casella Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.2080229226361032,1.0983268386231082,49.0,21+
4/36 BRUNSWICK ROAD,MITCHAM,VIC,3132,UNIT,3.0,1.0,1.0,257.0,110.0,1980.0,750000.0,2019-12-09,Unknown,Other,Strata Unit or Flat  (Unspecified),GRZ2,4/PS314674,Rented,https://rpp.corelogic.com.au/property/4-36-brunswick-road-mitcham-vic-3132/11847235,propertyExport_20250901115240.csv,Barry Plant,2019,12,201912,Brunswick Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.8595988538681948,0.7292206955006442,39.0,21+
2/5 FERRIS AVENUE,MITCHAM,VIC,3132,UNIT,2.0,1.0,2.0,216.0,92.97,1980.0,701000.0,2019-12-07,Unknown,Other,Strata Unit or Flat  (Unspecified),NRZ3,2/PS324606,Owner Occupied,https://rpp.corelogic.com.au/property/2-5-ferris-avenue-mitcham-vic-3132/11850790,propertyExport_20250901115240.csv,Ray White,2019,12,201912,Ferris Avenue,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,0.8034383954154728,0.7410739389798163,39.0,21+
3 MCKEON ROAD,MITCHAM,VIC,3132,HOUSE,5.0,2.0,2.0,688.0,214.0,1970.0,1375000.0,2019-12-07,Unknown,Jellis Craig Doncaster,Detached Dwelling,NRZ4,1/LP41897,Owner Occupied,https://rpp.corelogic.com.au/property/3-mckeon-road-mitcham-vic-3132/11854000,propertyExport_20250901115240.csv,Jellis Craig,2019,12,201912,Mckeon Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.5759312320916905,0.9686899353136981,49.0,21+
22/520 MITCHAM ROAD,MITCHAM,VIC,3132,UNIT,3.0,2.0,2.0,239.0,148.0,2018.0,935000.0,2019-12-07,Unknown,Ray White Blackburn,Single Strata Unit/Villa Unit/Townhouse,NRZ3,22/PS744064,Owner Occupied,https://rpp.corelogic.com.au/property/22-520-mitcham-road-mitcham-vic-3132/17871274,propertyExport_20250901115240.csv,Ray White,2019,12,201912,Mitcham Road,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.0716332378223496,0.7911286944398204,1.0,0–5
25 SOMERS STREET,MITCHAM,VIC,3132,HOUSE,4.0,2.0,4.0,996.0,162.0,1980.0,1001000.0,2019-12-07,Unknown,Other,Detached Dwelling,NRZ1,233/LP8809,Owner Occupied,https://rpp.corelogic.com.au/property/25-somers-street-mitcham-vic-3132/11858666,propertyExport_20250901115240.csv,Woodards,2019,12,201912,Somers Street,38,0.0,1.0,872500.0,34.0,436405.96588970727,820000.0,806500.0,765750.0,80.0,168.0,306.0,363930.9760861585,615563.8201474096,496981.2261103561,0.14802631578947367,0.1989007214015801,1180000.0,11.0,529042.0526801249,1022500.0,950125.0,884000.0,29.0,63.0,113.0,361084.21978044184,452177.0644740851,349906.40045315097,0.29385964912280693,0.281216069489685,776000.0,23.0,299415.14301319607,769000.0,712500.0,698500.0,51.0,105.0,193.0,312484.8554420108,673210.9957092375,533344.2659646717,0.11334289813486365,1.5024185746533378,1.1472779369627508,1.1709649363953158,39.0,21+
